	topic	words
0	0	god vader geest lof leven herten onzen woord zonden naam
1	1	maria moeder gods lof god hemels maagd vreugd klaar rein
2	2	lief adieu liefste liefde hert troost mocht och herte minnen
3	3	kwam zag sprak ging riep doe liet nam gaf stond
4	4	god oft hert vreugd gods leven heel mijnen haren liefde
5	5	kind geboren god stal kindeken moeder mens nieuwe bethlehem maria
6	6	dijn dij god du hun wt mit fijn dijnen recht
7	7	god volk bloed hand vijand tegen land geweld straf kwaad
8	8	god hen zullen allen wt doer gants dies geprezen werden
9	9	god wt leun gods nv woord christus genen si wereld
10	10	och lijden ach hert pijn verdriet ziel druk tranen droefheid
11	11	mee 'er twee ieder deur mof geld klok net je
12	12	vreugd man bruid twee bruidegom geluk paar bruyt deugd trouw
13	13	gods oft elk god woord heren geest enen rein leven
14	14	venus licht schoonheid gezicht glans zon goden ogen schone stralen
15	15	god sprak kwam zijnen enen gods volk waren ginck man
16	16	kwaad elk zich recht licht waarheid mens eigen schijn haat
17	17	vrolijk hemels hemel vreugd boven zon eeuwig ziel hert oog
18	18	god gods mens leven woord geest godes hert recht heren
19	19	leven zullen geven komen tijd maken dagen laten niemand moeten
20	20	la ha fa hu bom alleluia liere vive tiere es
21	21	liefde vreugd deur rein denkt tis liefd wt nieuwe tijd
22	22	kerk gods geloof godes christus deur christen werk zou iae
23	23	zoete mond lieve ei ach lipjes kusjes kussen lust vreugd
24	24	neen weet lang weg ander sou ei tijd man kind
25	25	zee schip land wind mee baren varen voort ree reis
26	26	geld enen man hun boer oft vrouw huis sou boeren
27	27	lust mens werelds rust ziel schat geld goud wereld zich
28	28	god word geest nog ziel jezus gods leven hert naa
29	29	wijn drinken sa vrolijk drinkt lustig bier vreugd bacchus zingen
30	30	nog dog lief jk 'er ag zoete kind trouw zou
31	31	gods christus god woord zullen hoort moeten heren och vrienden
32	32	prins land stad vijand graaf god waren jn held kwamen
33	33	zich god hert vw ren er zijns gods zelfs dies
34	34	jou je jij meisje ja kom lieve och meid ien
35	35	hun god zich hart hen leven gods volk zijne heil
36	36	ziel mijne god mijnen woord hert ziele hand ogen recht
37	37	mei vruchten groen groene vrucht schone bomen winter boom land
38	38	min hart liefde nog hert ziel leven vreugd ach ogen
39	39	ach min lief hert liefde ziel minne pijn hart leven
40	40	sprak christus jesus jezus zeid kwam petrus zeide joden nog
41	41	das mein vnnd mir ein mik jn nitt zei mit
42	42	zonden kruis bloed jezus lijden jesu vader wonden god jesus
43	43	le vous je la pour mon les qui ne boire
44	44	god hemels godes sint hart gods maagd ziel lof deughden
45	45	dij yn soe uwz jon fen mei god nat amor
46	46	wereld god leven tijd eeuwig kwaad sterven werelds zonden mens
47	47	vee herder groene zoete veld harder herders schaepjes coridon zon
48	48	liefde hert liefd ziel herte ziele lief alleen zoete iesu
49	49	god lof zijnen volk naam heren zijne hoog hemel looft
